qmax,region,rtt_ms,tcrypto_ms,m_requests,amortized_ms_per_request
1,US-West,40,7,100,47.0
1,US-East,60,7,100,67.0
1,EU,90,7,100,97.0
1,Asia,150,7,100,157.0
5,US-West,40,7,100,9.4
5,US-East,60,7,100,13.4
5,EU,90,7,100,19.4
5,Asia,150,7,100,31.4
10,US-West,40,7,100,4.7
10,US-East,60,7,100,6.7
10,EU,90,7,100,9.7
10,Asia,150,7,100,15.7
20,US-West,40,7,100,2.35
20,US-East,60,7,100,3.35
20,EU,90,7,100,4.85
20,Asia,150,7,100,7.85
30,US-West,40,7,100,1.88
30,US-East,60,7,100,2.68
30,EU,90,7,100,3.88
30,Asia,150,7,100,6.28
